k,info_kept,rel_reconstruction_error
367,0.988730,0.106160
368,0.990189,0.099052
369,0.991619,0.091546
370,0.993029,0.083493
371,0.994408,0.074779
372,0.995698,0.065590
373,0.996863,0.056011
374,0.997684,0.048123
375,0.998392,0.040102
376,0.998987,0.031824
377,0.999483,0.022728
378,0.999718,0.016796
379,0.999818,0.013482
380,0.999901,0.009966
381,0.999947,0.007251
382,0.999962,0.006148
383,0.999973,0.005183
384,0.999983,0.004142
385,0.999989,0.003380
386,0.999992,0.002787
387,0.999996,0.002105
388,0.999998,0.001396
389,1.000000,0.000091
390,1.000000,0.000000
391,1.000000,0.000000
392,1.000000,0.000000
393,1.000000,0.000000
394,1.000000,0.000000
395,1.000000,0.000000
396,1.000000,0.000000
397,1.000000,0.000000
398,1.000000,0.000000
399,1.000000,0.000000
400,1.000000,0.000000
401,1.000000,0.000000
402,1.000000,0.000000
403,1.000000,0.000000
404,1.000000,0.000000
405,1.000000,0.000000
406,1.000000,0.000000
407,1.000000,0.000000
408,1.000000,0.000000
