row,score,flagged
1107,1.017358,0
1108,0.483733,0
1109,0.310084,0
1110,0.694738,0
1111,0.374716,0
1112,0.855789,0
1113,0.613306,0
1114,0.143558,0
1115,0.334290,0
1116,0.163478,0
1117,2.045644,0
1118,0.685193,0
1119,1.371376,0
1120,1.371376,0
1121,0.312371,0
1122,2.178721,1
1123,0.962395,0
1124,1.009936,0
1125,0.479769,0
1126,0.474333,0
1127,0.313922,0
1128,0.313922,0
1129,0.359717,0
1130,0.360855,0
1131,0.508631,0
1132,0.684196,0
1133,0.684196,0
1134,0.314930,0
1135,0.314930,0
1136,0.314339,0
1137,0.361787,0
1138,0.360078,0
1139,0.321312,0
1140,0.355306,0
1141,0.963023,0
1142,0.963023,0
1143,0.965050,0
1144,0.964332,0
1145,0.474072,0
1146,2.210252,1
1147,2.210252,1
1148,0.316212,0
1149,2.177465,1
1150,1.012471,0
1151,0.685856,0
1152,0.639972,0
1153,0.317546,0
1154,0.317521,0
1155,0.476452,0
1156,0.635602,0
1157,0.634522,0
1158,0.638109,0
1159,0.638109,0
1160,2.078705,0
1161,2.079688,0
1162,2.079688,0
1163,0.637745,0
1164,1.126841,0
1165,1.305792,0
1166,0.317521,0
1167,2.079199,0
1168,0.638098,0
1169,2.079069,0
1170,2.144078,0
1171,2.143936,0
1172,0.521467,0
1173,1.127133,0
1174,0.526396,0
1175,0.636149,0
1176,0.316847,0
1177,0.318957,0
1178,0.967530,0
1179,1.849495,0
1180,0.766279,0
1181,0.768106,0
1182,0.800481,0
1183,0.097919,0
1184,0.542550,0
1185,2.439698,1
1186,2.439698,1
1187,1.817183,0
1188,1.816139,0
1189,1.914483,0
1190,1.881922,0
1191,1.816832,0
1192,0.674124,0
1193,0.521702,0
1194,0.523412,0
1195,0.522751,0
1196,0.606835,0
1197,0.607689,0
1198,0.607615,0
1199,0.360144,0
1200,1.011534,0
1201,0.346573,0
1202,0.344091,0
1203,0.537204,0
1204,0.537204,0
1205,0.801550,0
1206,0.477252,0
1207,0.473488,0
1208,0.473488,0
1209,0.070279,0
1210,0.521378,0
1211,0.521378,0
1212,2.177697,1
1213,0.801689,0
1214,0.477044,0
1215,0.477044,0
1216,0.476551,0
1217,0.478508,0
1218,0.478508,0
1219,0.313650,0
1220,0.311641,0
1221,0.311641,0
1222,2.439578,1
1223,2.439578,1
1224,0.606529,0
1225,2.078794,0
1226,1.914350,0
1227,0.963809,0
1228,1.519999,0
1229,0.519106,0
1230,2.209639,1
1231,1.304693,0
1232,1.371178,0
1233,0.317709,0
1234,1.553307,0
1235,1.816018,0
1236,0.358065,0
1237,0.683791,0
1238,1.585606,0
1239,1.126253,0
1240,2.078222,0
1241,2.078302,0
1242,2.143708,0
1243,0.355499,0
1244,1.553241,0
1245,1.585522,0
1246,1.585585,0
1247,1.010444,0
1248,1.191723,0
1249,2.209263,1
1250,0.518073,0
1251,1.060923,0
1252,0.194185,0
1253,0.962149,0
1254,0.701663,0
1255,1.979653,0
1256,1.585627,0
1257,0.635209,0
1258,0.963301,0
1259,1.126303,0
1260,1.979973,0
1261,1.618370,0
1262,1.946734,0
1263,1.041138,0
1264,0.337388,0
1265,0.972825,0
1266,1.441999,0
1267,1.332139,0
1268,1.332139,0
1269,0.220924,0
1270,0.857924,0
1271,0.399854,0
1272,0.591302,0
1273,0.833401,0
1274,0.438949,0
1275,0.888440,0
1276,0.387922,0
1277,0.803571,0
1278,0.497694,0
1279,0.699621,0
1280,0.692762,0
1281,0.693339,0
1282,0.373559,0
1283,0.375001,0
1284,1.015669,0
1285,1.015669,0
1286,1.014618,0
1287,1.016197,0
1288,1.016628,0
1289,1.017193,0
1290,1.015899,0
1291,0.854018,0
1292,1.311487,0
1293,1.015385,0
1294,1.017232,0
1295,0.856228,0
1296,0.692023,0
1297,0.693534,0
1298,0.358393,0
1299,0.685524,0
1300,1.010071,0
1301,1.011227,0
1302,1.305620,0
1303,1.304958,0
1304,1.308738,0
1305,1.371855,0
1306,1.306455,0
1307,1.306560,0
1308,0.686436,0
1309,0.340699,0
1310,0.337200,0
1311,1.011530,0
1312,1.010630,0
1313,1.305228,0
1314,1.371362,0
1315,1.009949,0
1316,1.009880,0
1317,1.375044,0
1318,1.372788,0
1319,0.683545,0
1320,0.682597,0
1321,0.683280,0
1322,0.682849,0
1323,0.847759,0
1324,0.848549,0
1325,1.306209,0
1326,1.307717,0
1327,1.306933,0
1328,1.011497,0
1329,1.011798,0
1330,1.307911,0
1331,1.305520,0
1332,0.682643,0
1333,0.846788,0
1334,0.847249,0
1335,0.683526,0
1336,0.519536,0
1337,0.362710,0
1338,0.362710,0
1339,1.304565,0
1340,1.009183,0
1341,0.847811,0
1342,0.682671,0
1343,1.304980,0
1344,1.370539,0
